MSTRG.10.2	0.0036894	0	0.0138245	0.0138189	1.56403	3.6676
MSTRG.10000.2	0.00021313	0	9.0904e-05	6.75367e-05	1.44252	3.77875
MSTRG.10001.14	0.93992	4.14504	0	5.91663	0	0
MSTRG.10001.5	8.87195	21.8837	17.4342	30.3222	31.6244	27.8
MSTRG.10004.6	26.721	14.071	6.03518	29.13	18.9841	27.6706
MSTRG.10004.7	0	67.5092	25.6771	0	0.7386	0
MSTRG.10012.4	2.2959	31.9192	9.23267	7.4016	20.6491	23.9298
MSTRG.10013.1	4.64174	1.13446	19.1835	0	3.04399	2.44615
MSTRG.10013.2	0	2.36613	0	8.29787	2.05991	6.44512
MSTRG.1003.2	0	0	1.67296	4.59819	5.25688	2.58378
MSTRG.10036.1	39.7065	0	0	3.1922	0	0.595028
MSTRG.10038.2	1.1658	5.83718	1.08026	0.000143065	0.247938	3.14177
MSTRG.10047.10	0	0	0.410596	0	0.614174	0.868752
MSTRG.10047.11	0	0	0	0	2.8015	1.40071
MSTRG.10047.12	4.79451	7.88148	6.60956	1.64992	5.67009	4.16225
MSTRG.10047.9	0	28.8064	0	8.25841	0	0
MSTRG.1005.1	1.62343	5.47494	13.947	20.7499	10.1359	14.331
MSTRG.10052.6	1.16781	0	3.31523	0	3.11129	1.95937
MSTRG.10055.5	0	0	0.41011	2.00498	0.1215	0.177682
MSTRG.1006.11	10.7815	11.614	11.9818	23.583	13.6721	6.53485
MSTRG.1006.12	0	0	0.00840632	0.00675151	0.000608571	5.1705
MSTRG.1006.2	2.38435	18.2004	0	0	2.11731	0
MSTRG.1006.3	0	0	2.59739	0	3.47454	0.769265
MSTRG.1006.4	2.79103	2.96899	0	2.11685	3.48497	2.88905
MSTRG.1006.8	6.40053	29.0781	8.29023	19.2321	15.87	6.13138
MSTRG.1006.9	0	0	0	0.0084388	3.55153	0
MSTRG.10060.2	0.000887543	0.00089176	0.00160833	0.00182474	3.5833	1.93597
MSTRG.10062.4	0	7.88131	0	11.7811	0	2.35254
MSTRG.10062.5	46.4119	97.7292	39.3691	0.150112	8.56525	3.13369
MSTRG.10068.1	0	80.3259	0.974403	7.16313	0.977992	0.778873
MSTRG.10072.2	0.29951	2.52604	0.99585	8.23633	1.94683	9.01105
MSTRG.10073.4	0	0	10.8449	8.34792	1.9403	0
MSTRG.10077.1	1.16235	0	3.0927	2.74121	1.40644	3.22332
MSTRG.10078.2	0.0112916	4.21646	2.46229	0	0.996011	3.75444
MSTRG.1008.2	0	6.00006	8.29188	13.0396	2.69623	3.20131
MSTRG.10081.1	12.1657	8.94984	0.000589433	0	0.4411	1.95655
MSTRG.10081.4	24.4716	8.83078	15.4551	4.6808	9.13232	10.3726
MSTRG.10084.2	0	18.708	0	0	0.00184467	0
MSTRG.10084.4	3.95573	0	0	14.5516	0	0.00634873
MSTRG.10086.2	0.000423871	0	0.000182433	6.8831	0.75506	2.73108
MSTRG.10086.3	12.6936	7.23337e-06	2.42427	8.79936	3.29012	4.61061
MSTRG.10089.2	0	67.7523	19.1	8.77567	9.45042	15.3804
MSTRG.1009.2	3.17865	0.0021793	5.39568	0.000551662	1.73325	7.0542
MSTRG.1009.3	10.8095	8.69194	4.64203	11.4865	11.8444	12.2138
MSTRG.10093.2	2.48078	0	2.36584	3.86435	1.32473	2.72119
MSTRG.10097.3	0	7.73989	0.944128	0	0	1.81726
MSTRG.10097.4	0	1.65286	0	0	0.379554	0
MSTRG.10099.2	0	23.9895	42.0017	39.2226	30.8376	24.503
MSTRG.10099.3	13.908	0	9.59793	3.85655	0.933354	4.18157
MSTRG.10099.4	0	4.23553	5.96304	8.97448	0	4.19392
MSTRG.1010.2	0.000940011	0	1.59785	0.000390468	0	0.587501
MSTRG.10102.2	0	0	8.83891	12.5037	2.73744	2.9327
MSTRG.10106.2	1.18503	0	9.0468	0.0232217	7.28843	7.55069
MSTRG.10107.3	0.000335831	0.000152316	1.782	0.000347755	0.756322	0.600443
MSTRG.10109.1	1.03255	1.30194	1.50854	0.00040862	1.39846	0
MSTRG.10109.4	0	0	2.15963	2.88194	0.999209	3.59371
MSTRG.10111.2	0	0.16649	0	8.95842e-05	0.00135682	1.02567
MSTRG.10113.1	0	0	0	0	1.47983	1.23558
MSTRG.10113.3	1.87991	28.0745	0.00261498	62.8083	4.83382	9.19629
MSTRG.1012.1	5.66302	66.516	11.6549	4.94302	4.24209	5.52829
MSTRG.10122.18	12.6024	67.9992	1.63179	4.85444	4.6953	0
MSTRG.10122.5	0.446022	0	0	0	0	0.322691
MSTRG.10122.6	4.40898	0	0	0	0.154616	0.58185
MSTRG.10123.2	5.39465	2.16856	0.762971	7.09487	5.67046	7.28695
MSTRG.10123.3	3.91183	0	3.14884	8.86291	3.21818	2.26584
MSTRG.10126.1	0.000713733	0	0	10.0743	0	1.36726
MSTRG.10126.4	0	30.4055	36.0413	4.69073	0.0215896	0.91789
MSTRG.10129.2	9.0806	2.66142	5.53468	6.44803	6.95057	3.124
MSTRG.10130.1	6.26172	2.73123	5.87262	13.7	5.77856	6.09678
MSTRG.10135.1	0	0	0	0	0.484115	3.70962
MSTRG.10135.3	0.0226877	5.1651	4.14014	13.4219	14.7112	0.0284902
MSTRG.10135.5	17.8095	1.33445	6.27097	8.07008	4.14188	5.9914
MSTRG.10135.6	0.764167	0.00285794	0	6.90651	21.2566	0
MSTRG.10136.2	13.645	1.14936	1.0839	0.692306	0	0.00758294
MSTRG.10139.1	13.7385	5.37908	5.82763	1.25993	3.77962	2.14493
MSTRG.1014.3	8.73417	0	4.49595	0.00040871	13.765	0
